topic_id,theme,category,n_mentions,topic_mean,corpus_mean,log_ratio,p_raw,p_bh
0,Chinese-era legal,animal,41002,0.0008701428988519952,0.0007872812756559047,0.10007186267128403,0.000999000999000999,0.000999000999000999
0,Chinese-era legal,cargo,41002,0.0011063537394045528,0.0007133542770863304,0.4388467878422642,0.000999000999000999,0.000999000999000999
0,Chinese-era legal,disease,41002,0.0003337331100719985,0.00033585706687719574,-0.006344071330742765,0.000999000999000999,0.000999000999000999
0,Chinese-era legal,flood_tide,41002,8.494060972861884e-05,0.00017349146183053517,-0.7141760776113574,0.000999000999000999,0.000999000999000999
0,Chinese-era legal,machine,41002,0.0002318075808402312,0.00019523588809176884,0.1716991237823161,0.000999000999000999,0.000999000999000999
0,Chinese-era legal,vermin,41002,7.565591716366161e-05,6.353308803294717e-05,0.17463481070971165,0.000999000999000999,0.000999000999000999
0,Chinese-era legal,invasion,41002,0.006898105159782213,0.004080444442260749,0.5250408448552467,0.000999000999000999,0.000999000999000999
0,Chinese-era legal,threat,41002,0.0003229580776548762,0.00028684952399190807,0.11856475225276121,0.000999000999000999,0.000999000999000999
1,procedural (junk),animal,18587,0.000533106476412236,0.0007872812756559047,-0.38986441397412025,0.000999000999000999,0.000999000999000999
1,procedural (junk),cargo,18587,0.001292925394208054,0.0007133542770863304,0.5946844973988444,0.000999000999000999,0.000999000999000999
1,procedural (junk),disease,18587,0.0006898289899207295,0.00033585706687719574,0.7197580513935565,0.000999000999000999,0.000999000999000999
1,procedural (junk),flood_tide,18587,0.00015705026582217078,0.00017349146183053517,-0.09956246764217198,0.000999000999000999,0.000999000999000999
1,procedural (junk),machine,18587,0.0001416783136893663,0.00019523588809176884,-0.3206494169182448,0.000999000999000999,0.000999000999000999
1,procedural (junk),vermin,18587,3.879377118220618e-05,6.353308803294717e-05,-0.4933011343348037,0.000999000999000999,0.000999000999000999
1,procedural (junk),invasion,18587,0.0041680662681531176,0.004080444442260749,0.021246289178431018,0.000999000999000999,0.000999000999000999
1,procedural (junk),threat,18587,0.0002208889463937674,0.00028684952399190807,-0.2612977003591875,0.000999000999000999,0.000999000999000999
2,border / enforcement,animal,11997,0.0012547574953369169,0.0007872812756559047,0.4661120146913459,0.000999000999000999,0.000999000999000999
2,border / enforcement,cargo,11997,0.001677998213228269,0.0007133542770863304,0.8553786420802805,0.000999000999000999,0.000999000999000999
2,border / enforcement,disease,11997,0.00030182792517289804,0.00033585706687719574,-0.10682860213159598,0.000999000999000999,0.000999000999000999
2,border / enforcement,flood_tide,11997,0.00027289936665817144,0.00017349146183053517,0.45297471800382666,0.000999000999000999,0.000999000999000999
2,border / enforcement,machine,11997,0.00017601906686917277,0.00019523588809176884,-0.10361618579573215,0.000999000999000999,0.000999000999000999
